id,xmid,ymid,radius,ubulk,HtAvg
1,1.5e-05,1.29903810567666e-05,2.5e-06,0.000508065981022844,0.313875244710442
2,1.5e-05,3.89711431702997e-05,2.5e-06,0.000229845656465171,0.00558828328861318
3,1.5e-05,6.49519052838329e-05,2.5e-06,0.000105056483503039,0
4,1.5e-05,9.09326673973661e-05,2.5e-06,3.95078328682086e-05,0
5,1.5e-05,0.000116913429510899,2.5e-06,3.53619354529271e-05,0.0172305401398907
6,1.5e-05,0.000142894191624432,2.5e-06,3.10118324202548e-05,0.106177382483651
7,1.5e-05,0.000168874953737966,2.5e-06,1.46012118825948e-05,0.340419590331354
8,1.5e-05,0.000194855715851499,2.5e-06,9.19171484954093e-06,0.653363454493694
9,1.5e-05,0.000220836477965032,2.5e-06,1.29065955264295e-05,0.825668855892601
10,1.5e-05,0.000246817240078565,2.5e-06,1.44507560090012e-05,0.92672364536169
11,3.75e-05,0,2.5e-06,0.0002419899212384,0.0675250897374093
12,3.75e-05,2.59807621135332e-05,2.5e-06,0.000164683213222563,0.769320332732418
13,3.75e-05,5.19615242270663e-05,2.5e-06,0.000184931868415396,0.101054789469089
14,3.75e-05,7.79422863405995e-05,2.5e-06,0.000110231536495888,0.00186276109620439
15,3.75e-05,0.000103923048454133,2.5e-06,6.79612340716589e-05,0
16,3.75e-05,0.000129903810567666,2.5e-06,5.67086966428393e-05,0
17,3.75e-05,0.000155884572681199,2.5e-06,4.96129428054765e-05,0
18,3.75e-05,0.000181865334794732,2.5e-06,4.43474742924557e-05,0.121545161527337
19,3.75e-05,0.000207846096908265,2.5e-06,2.64549772432143e-05,0.521107416663181
20,3.75e-05,0.000233826859021798,2.5e-06,3.57636229141027e-05,0.318066457176902
21,3.75e-05,0.000259807621135332,2.5e-06,1.73145126580054e-05,0.663142950248767
22,6e-05,1.29903810567666e-05,2.5e-06,0.000251654966716331,0.116422568512775
23,6e-05,3.89711431702997e-05,2.5e-06,0.000124692971066604,0.835448351647675
24,6e-05,6.49519052838329e-05,2.5e-06,0.000107544709379999,0.319463527999055
25,6e-05,9.09326673973661e-05,2.5e-06,0.000118910572468062,0.0130393276734308
26,6e-05,0.000116913429510899,2.5e-06,8.4523348771003e-05,0
27,6e-05,0.000142894191624432,2.5e-06,7.17808863357256e-05,0
28,6e-05,0.000168874953737966,2.5e-06,6.74513892765847e-05,0
29,6e-05,0.000194855715851499,2.5e-06,6.30474631530229e-05,0.080098727136789
30,6e-05,0.000220836477965032,2.5e-06,5.32895824785688e-05,0.262183624290769
31,6e-05,0.000246817240078565,2.5e-06,5.71041103540995e-05,0.415395724453581
32,8.25e-05,0,2.5e-06,0.000131293582977074,0.0484317885013142
33,8.25e-05,2.59807621135332e-05,2.5e-06,0.000143688750241445,0.210957694145148
34,8.25e-05,5.19615242270663e-05,2.5e-06,9.20082620571108e-05,0.861527006994536
35,8.25e-05,7.79422863405995e-05,2.5e-06,6.75538724760641e-05,0.645446719834825
36,8.25e-05,0.000103923048454133,2.5e-06,0.00010487685390152,0.0637995675450005
37,8.25e-05,0.000129903810567666,2.5e-06,8.69018492061989e-05,0.00279414164430659
38,8.25e-05,0.000155884572681199,2.5e-06,8.54870913122557e-05,0
39,8.25e-05,0.000181865334794732,2.5e-06,9.04324777605699e-05,0
40,8.25e-05,0.000207846096908265,2.5e-06,7.76635238614504e-05,0.0568142134342341
41,8.25e-05,0.000233826859021798,2.5e-06,8.34968372697651e-05,0.192330083183104
42,8.25e-05,0.000259807621135332,2.5e-06,3.65968989365495e-05,0.599809072977817
43,0.000105,1.29903810567666e-05,2.5e-06,0.000176906398192487,0.0353924608278834
44,0.000105,3.89711431702997e-05,2.5e-06,0.000106469552153954,0.305027129503471
45,0.000105,6.49519052838329e-05,2.5e-06,6.61140647646698e-05,0.862924077816689
46,0.000105,9.09326673973661e-05,2.5e-06,5.47713606376134e-05,0.837311112743879
47,0.000105,0.000116913429510899,2.5e-06,7.70077517777352e-05,0.272894500593945
48,0.000105,0.000142894191624432,2.5e-06,9.77351631389523e-05,0.00698535411076648
49,0.000105,0.000168874953737966,2.5e-06,9.86207821554929e-05,0
50,0.000105,0.000194855715851499,2.5e-06,0.000106502810774992,0
51,0.000105,0.000220836477965032,2.5e-06,0.00011693033018796,0.0409807441164966
52,0.000105,0.000246817240078565,2.5e-06,9.89417862161504e-05,0.396302423217486
53,0.0001275,0,2.5e-06,8.42636236982614e-05,0.00512259301456208
54,0.0001275,2.59807621135332e-05,2.5e-06,0.000109044546810681,0.0512259301456208
55,0.0001275,5.19615242270663e-05,2.5e-06,7.9551082547562e-05,0.468484415695407
56,0.0001275,7.79422863405995e-05,2.5e-06,5.27140273888507e-05,0.887605662341398
57,0.0001275,0.000103923048454133,2.5e-06,4.67562385347055e-05,0.886674281793296
58,0.0001275,0.000129903810567666,2.5e-06,6.7031381576057e-05,0.515519133374568
59,0.0001275,0.000155884572681199,2.5e-06,9.82763095017752e-05,0.0451719565829565
60,0.0001275,0.000181865334794732,2.5e-06,0.000113290840444412,0
61,0.0001275,0.000207846096908265,2.5e-06,0.000142078910240068,0
62,0.0001275,0.000233826859021798,2.5e-06,0.000138510485052745,0.0488974787753654
63,0.0001275,0.000259807621135332,2.5e-06,6.84825542048882e-05,0.586304055030335
64,0.00015,1.29903810567666e-05,2.5e-06,0.000106411146043344,0.00372552219240879
65,0.00015,3.89711431702997e-05,2.5e-06,9.15741264888689e-05,0.0642652578190517
66,0.00015,6.49519052838329e-05,2.5e-06,5.07918302477363e-05,0.669662614085482
67,0.00015,9.09326673973661e-05,2.5e-06,4.6405193736364e-05,0.85081613069136
68,0.00015,0.000116913429510899,2.5e-06,4.95398869279178e-05,0.861061316720484
69,0.00015,0.000142894191624432,2.5e-06,5.14706817769869e-05,0.723216995601359
70,0.00015,0.000168874953737966,2.5e-06,8.65192153601961e-05,0.165785737562191
71,0.00015,0.000194855715851499,2.5e-06,0.000147747014633943,0
72,0.00015,0.000220836477965032,2.5e-06,0.00020079971521231,0
73,0.00015,0.000246817240078565,2.5e-06,0.000168741189572342,0.228188234285039
74,0.0001725,0,2.5e-06,4.60686885453645e-05,0
75,0.0001725,2.59807621135332e-05,2.5e-06,7.07724324299135e-05,0.00651966383671537
